,serial number,timestamp,ID,App ID,Function,Attribute,Value,Lower bound,Upper bound
14,6,2022-12-20 14:41:52.671554,5c83f171fff8430001e997b4,106647,select_reject_application,fair,[],0.0,0.0
15,11,2022-12-20 14:42:49.160836,5c83f171fff8430001e997b4,0,apply_refine_search,Age,None,None,None
16,14,2022-12-20 14:43:14.024246,5c83f171fff8430001e997b4,106401,select_applications,None,106401,None,None
17,28,2022-12-20 14:44:54.819304,5c83f171fff8430001e997b4,106401,select_reject_application,unfair,"[{'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106401_Age', 'value': '0.049'}]",0.0,0.0
18,30,2022-12-20 14:45:11.170107,5c83f171fff8430001e997b4,106488,select_applications,None,106488,None,None
19,45,2022-12-20 14:46:35.966709,5c83f171fff8430001e997b4,106488,select_reject_application,unfair,"[{'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '106401_Age', 'value': '0.049'}]",0.0,0.0
20,50,2022-12-20 14:47:07.746651,5c83f171fff8430001e997b4,101367,select_applications,None,101367,None,None
21,60,2022-12-20 14:47:59.649995,5c83f171fff8430001e997b4,101367,select_reject_application,fair,"[{'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '101367_Number of children', 'value': '0.031'}]",0.0,0.0
22,62,2022-12-20 14:48:26.971518,5c83f171fff8430001e997b4,0,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
23,63,2022-12-20 14:48:31.530002,5c83f171fff8430001e997b4,0,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '90', 'risk_rate': '47'}",None,None
24,64,2022-12-20 14:48:40.180709,5c83f171fff8430001e997b4,100241,select_applications,None,100241,None,None
25,74,2022-12-20 14:49:33.599011,5c83f171fff8430001e997b4,100241,select_reject_application,fair,"[{'attribute': '100241_Age', 'value': '0.049'}, {'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '100241_Gender', 'value': '0.038'}, {'attribute': '100241_Income', 'value': '0.033'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '100241_Years in current employment', 'value': '0.034'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '101367_Number of children', 'value': '0.031'}]",0.0,0.0
26,76,2022-12-20 14:49:48.045904,5c83f171fff8430001e997b4,106802,select_applications,None,106802,None,None
27,90,2022-12-20 14:50:55.688761,5c83f171fff8430001e997b4,106802,select_reject_application,fair,"[{'attribute': '100241_Age', 'value': '0.049'}, {'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '106802_Owns Car', 'value': '0.054'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '100241_Gender', 'value': '0.038'}, {'attribute': '100241_Income', 'value': '0.033'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '100241_Years in current employment', 'value': '0.034'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '106802_Age', 'value': '0.045'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106802_Years in current employment', 'value': '0.047'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '106802_Loan annuity', 'value': '0.026'}, {'attribute': '106802_Gender', 'value': '0.038'}, {'attribute': '101367_Number of children', 'value': '0.031'}, {'attribute': '106802_Number of children', 'value': '0.035'}]",0.0,0.0
28,92,2022-12-20 14:51:05.734406,5c83f171fff8430001e997b4,105035,select_applications,None,105035,None,None
29,105,2022-12-20 14:52:15.695759,5c83f171fff8430001e997b4,105035,select_reject_application,fair,"[{'attribute': '105035_Years in current employment', 'value': '0.046'}, {'attribute': '100241_Age', 'value': '0.049'}, {'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '106802_Owns Car', 'value': '0.054'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '100241_Gender', 'value': '0.038'}, {'attribute': '100241_Income', 'value': '0.033'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '105035_Owns Car', 'value': '0.041'}, {'attribute': '105035_Housing situation', 'value': '0.023'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '100241_Years in current employment', 'value': '0.034'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '106802_Age', 'value': '0.045'}, {'attribute': '105035_Gender', 'value': '0.038'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106802_Years in current employment', 'value': '0.047'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '106802_Loan annuity', 'value': '0.026'}, {'attribute': '105035_Income', 'value': '0.035'}, {'attribute': '106802_Gender', 'value': '0.038'}, {'attribute': '101367_Number of children', 'value': '0.031'}, {'attribute': '106802_Number of children', 'value': '0.035'}]",0.0,0.0
30,107,2022-12-20 14:52:34.458047,5c83f171fff8430001e997b4,104860,select_applications,None,104860,None,None
31,118,2022-12-20 14:53:19.933440,5c83f171fff8430001e997b4,104860,select_reject_application,unfair,"[{'attribute': '100241_Age', 'value': '0.049'}, {'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '104860_Income', 'value': '0.036'}, {'attribute': '104860_Gender', 'value': '0.045'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '104860_Owns Car', 'value': '0.043'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106802_Loan annuity', 'value': '0.026'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '105035_Income', 'value': '0.035'}, {'attribute': '106802_Gender', 'value': '0.038'}, {'attribute': '104860_Number of children', 'value': '0.021'}, {'attribute': '106802_Number of children', 'value': '0.035'}, {'attribute': '104860_Owns Property', 'value': '0.017'}, {'attribute': '104860_Age', 'value': '0.044'}, {'attribute': '105035_Years in current employment', 'value': '0.046'}, {'attribute': '106802_Owns Car', 'value': '0.054'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '100241_Gender', 'value': '0.038'}, {'attribute': '100241_Income', 'value': '0.033'}, {'attribute': '105035_Owns Car', 'value': '0.041'}, {'attribute': '105035_Housing situation', 'value': '0.023'}, {'attribute': '100241_Years in current employment', 'value': '0.034'}, {'attribute': '106802_Age', 'value': '0.045'}, {'attribute': '105035_Gender', 'value': '0.038'}, {'attribute': '106802_Years in current employment', 'value': '0.047'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '101367_Number of children', 'value': '0.031'}, {'attribute': '104860_Years in current employment', 'value': '0.036'}]",0.0,0.0
32,120,2022-12-20 14:53:37.679505,5c83f171fff8430001e997b4,103570,select_applications,None,103570,None,None
33,135,2022-12-20 14:54:25.433271,5c83f171fff8430001e997b4,103570,select_reject_application,unfair,"[{'attribute': '100241_Age', 'value': '0.049'}, {'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '103570_Income', 'value': '0.049'}, {'attribute': '104860_Income', 'value': '0.036'}, {'attribute': '103570_Years in current employment', 'value': '0.032'}, {'attribute': '104860_Gender', 'value': '0.045'}, {'attribute': '103570_Gender', 'value': '0.04'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '104860_Owns Car', 'value': '0.043'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '103570_Age', 'value': '0.036'}, {'attribute': '106802_Loan annuity', 'value': '0.026'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '105035_Income', 'value': '0.035'}, {'attribute': '106802_Gender', 'value': '0.038'}, {'attribute': '104860_Number of children', 'value': '0.021'}, {'attribute': '106802_Number of children', 'value': '0.035'}, {'attribute': '104860_Owns Property', 'value': '0.017'}, {'attribute': '104860_Age', 'value': '0.044'}, {'attribute': '105035_Years in current employment', 'value': '0.046'}, {'attribute': '106802_Owns Car', 'value': '0.054'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '100241_Gender', 'value': '0.038'}, {'attribute': '100241_Income', 'value': '0.033'}, {'attribute': '105035_Owns Car', 'value': '0.041'}, {'attribute': '105035_Housing situation', 'value': '0.023'}, {'attribute': '100241_Years in current employment', 'value': '0.034'}, {'attribute': '106802_Age', 'value': '0.045'}, {'attribute': '105035_Gender', 'value': '0.038'}, {'attribute': '106802_Years in current employment', 'value': '0.047'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '103570_Loan annuity', 'value': '0.038'}, {'attribute': '101367_Number of children', 'value': '0.031'}, {'attribute': '104860_Years in current employment', 'value': '0.036'}]",0.0,0.0
34,137,2022-12-20 14:54:36.933283,5c83f171fff8430001e997b4,100445,select_applications,None,100445,None,None
35,148,2022-12-20 14:56:19.662919,5c83f171fff8430001e997b4,100445,select_reject_application,unfair,"[{'attribute': '100241_Age', 'value': '0.049'}, {'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '103570_Income', 'value': '0.049'}, {'attribute': '104860_Income', 'value': '0.036'}, {'attribute': '103570_Years in current employment', 'value': '0.032'}, {'attribute': '104860_Gender', 'value': '0.045'}, {'attribute': '103570_Gender', 'value': '0.04'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '104860_Owns Car', 'value': '0.043'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '103570_Age', 'value': '0.036'}, {'attribute': '106802_Loan annuity', 'value': '0.026'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '105035_Income', 'value': '0.035'}, {'attribute': '106802_Gender', 'value': '0.038'}, {'attribute': '104860_Number of children', 'value': '0.021'}, {'attribute': '106802_Number of children', 'value': '0.035'}, {'attribute': '104860_Owns Property', 'value': '0.017'}, {'attribute': '104860_Age', 'value': '0.044'}, {'attribute': '105035_Years in current employment', 'value': '0.046'}, {'attribute': '106802_Owns Car', 'value': '0.054'}, {'attribute': '100445_Income', 'value': '0.039'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '100241_Gender', 'value': '0.038'}, {'attribute': '100241_Income', 'value': '0.033'}, {'attribute': '105035_Owns Car', 'value': '0.041'}, {'attribute': '105035_Housing situation', 'value': '0.023'}, {'attribute': '100445_Loan annuity', 'value': '0.035'}, {'attribute': '100241_Years in current employment', 'value': '0.034'}, {'attribute': '106802_Age', 'value': '0.045'}, {'attribute': '105035_Gender', 'value': '0.038'}, {'attribute': '106802_Years in current employment', 'value': '0.047'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '100445_Owns Car', 'value': '0.04'}, {'attribute': '103570_Loan annuity', 'value': '0.038'}, {'attribute': '101367_Number of children', 'value': '0.031'}, {'attribute': '104860_Years in current employment', 'value': '0.036'}]",0.0,0.0
36,150,2022-12-20 14:56:29.990665,5c83f171fff8430001e997b4,100278,select_applications,None,100278,None,None
37,166,2022-12-20 14:57:49.740477,5c83f171fff8430001e997b4,100278,select_reject_application,unfair,"[{'attribute': '100241_Age', 'value': '0.049'}, {'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '103570_Income', 'value': '0.049'}, {'attribute': '100278_Loan annuity', 'value': '0.039'}, {'attribute': '104860_Income', 'value': '0.036'}, {'attribute': '103570_Years in current employment', 'value': '0.032'}, {'attribute': '104860_Gender', 'value': '0.045'}, {'attribute': '103570_Gender', 'value': '0.04'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '104860_Owns Car', 'value': '0.043'}, {'attribute': '100278_Age', 'value': '0.049'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '103570_Age', 'value': '0.036'}, {'attribute': '106802_Loan annuity', 'value': '0.026'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '100278_Family status', 'value': '0.029'}, {'attribute': '105035_Income', 'value': '0.035'}, {'attribute': '106802_Gender', 'value': '0.038'}, {'attribute': '104860_Number of children', 'value': '0.021'}, {'attribute': '106802_Number of children', 'value': '0.035'}, {'attribute': '100278_Owns Property', 'value': '0.036'}, {'attribute': '104860_Owns Property', 'value': '0.017'}, {'attribute': '104860_Age', 'value': '0.044'}, {'attribute': '105035_Years in current employment', 'value': '0.046'}, {'attribute': '106802_Owns Car', 'value': '0.054'}, {'attribute': '100445_Income', 'value': '0.039'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '100241_Gender', 'value': '0.038'}, {'attribute': '100241_Income', 'value': '0.033'}, {'attribute': '105035_Owns Car', 'value': '0.041'}, {'attribute': '105035_Housing situation', 'value': '0.023'}, {'attribute': '100445_Loan annuity', 'value': '0.035'}, {'attribute': '100241_Years in current employment', 'value': '0.034'}, {'attribute': '100278_Housing situation', 'value': '0.027'}, {'attribute': '106802_Age', 'value': '0.045'}, {'attribute': '105035_Gender', 'value': '0.038'}, {'attribute': '100278_Owns Car', 'value': '0.039'}, {'attribute': '106802_Years in current employment', 'value': '0.047'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '100278_Income', 'value': '0.035'}, {'attribute': '100445_Owns Car', 'value': '0.04'}, {'attribute': '103570_Loan annuity', 'value': '0.038'}, {'attribute': '101367_Number of children', 'value': '0.031'}, {'attribute': '100278_Number of children', 'value': '0.04'}, {'attribute': '104860_Years in current employment', 'value': '0.036'}]",0.0,0.0
38,168,2022-12-20 14:57:59.368579,5c83f171fff8430001e997b4,103102,select_applications,None,103102,None,None
39,179,2022-12-20 14:58:48.100241,5c83f171fff8430001e997b4,103102,select_reject_application,fair,"[{'attribute': '100241_Age', 'value': '0.049'}, {'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '103102_Gender', 'value': '0.038'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '103570_Income', 'value': '0.049'}, {'attribute': '100278_Loan annuity', 'value': '0.039'}, {'attribute': '104860_Income', 'value': '0.036'}, {'attribute': '103570_Years in current employment', 'value': '0.032'}, {'attribute': '104860_Gender', 'value': '0.045'}, {'attribute': '103570_Gender', 'value': '0.04'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '104860_Owns Car', 'value': '0.043'}, {'attribute': '100278_Age', 'value': '0.049'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '103570_Age', 'value': '0.036'}, {'attribute': '106802_Loan annuity', 'value': '0.026'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '100278_Family status', 'value': '0.029'}, {'attribute': '105035_Income', 'value': '0.035'}, {'attribute': '106802_Gender', 'value': '0.038'}, {'attribute': '104860_Number of children', 'value': '0.021'}, {'attribute': '106802_Number of children', 'value': '0.035'}, {'attribute': '100278_Owns Property', 'value': '0.036'}, {'attribute': '103102_Income', 'value': '0.038'}, {'attribute': '104860_Owns Property', 'value': '0.017'}, {'attribute': '104860_Age', 'value': '0.044'}, {'attribute': '103102_Age', 'value': '0.04'}, {'attribute': '105035_Years in current employment', 'value': '0.046'}, {'attribute': '106802_Owns Car', 'value': '0.054'}, {'attribute': '100445_Income', 'value': '0.039'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '100241_Gender', 'value': '0.038'}, {'attribute': '100241_Income', 'value': '0.033'}, {'attribute': '105035_Owns Car', 'value': '0.041'}, {'attribute': '105035_Housing situation', 'value': '0.023'}, {'attribute': '100445_Loan annuity', 'value': '0.035'}, {'attribute': '100241_Years in current employment', 'value': '0.034'}, {'attribute': '100278_Housing situation', 'value': '0.027'}, {'attribute': '106802_Age', 'value': '0.045'}, {'attribute': '105035_Gender', 'value': '0.038'}, {'attribute': '100278_Owns Car', 'value': '0.039'}, {'attribute': '106802_Years in current employment', 'value': '0.047'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '100278_Income', 'value': '0.035'}, {'attribute': '103102_Owns Car', 'value': '0.041'}, {'attribute': '100445_Owns Car', 'value': '0.04'}, {'attribute': '103570_Loan annuity', 'value': '0.038'}, {'attribute': '101367_Number of children', 'value': '0.031'}, {'attribute': '100278_Number of children', 'value': '0.04'}, {'attribute': '104860_Years in current employment', 'value': '0.036'}, {'attribute': '103102_Family status', 'value': '0.034'}]",0.0,0.0
40,181,2022-12-20 14:58:59.709745,5c83f171fff8430001e997b4,105231,select_applications,None,105231,None,None
